name,freereturns,itemssold,status,price,shipping
Simply Doritos Spicy White Cheddar Tortilla Chips Organic 7.5 Oz (Pack of 2),False,,Brand New,2279,0
NEW Doritos 3D CRUNCH Chili Chese Nacho Flavored Chip Snacks 6 oz FREE SHIPPING,False,,Brand New,1199,
DORITOS BBQ MALAYSIA Net Weight - 55g Barbeque Exotic Snack Asia,False,,Brand New,1000,0
DORITOS NACHO CHEESE Net Weight - 50g Thailand Exotic Snack Asia,False,,Brand New,1000,0
 DORITOS KETCHUP CHIPS 3 Large Family Bags  *LIMITED TIME* 210g,False,0,Brand New,3134,0
"Frito-Lay Munchies Snack Mix CHEESE Mix, Sun Chips Doritos Cheetos Pretzels ",False,,Brand New,1091,0
"6-Pk Doritos Pizzerolas, Incognito, Nachos. Mex Doritos Assorted Pk. 54g/1.9oz",False,,Brand New,1800,0
Pretzels Double Bag Error - Not Dorito or Cheeto - UTZ Halloween Pretzels Rare,False,0,Brand New,100000,1000
Doritos FLAMIN HOT LIMON Flavored Tortilla Chips Bag Snacks (Pack of 1) ,False,,Brand New,1139,0
Lay's Doritos Cool Ranch Flavored Chips ~*Limited Time*~ 23oz  GINORMOUS BAG,False,,Brand New,2499,1499
Doritos Twisted Lime Tortilla Chips Extra Large Bags - 2 Pack (37.75oz),False,0,Brand New,1999,799
rare Lays Doritos chips,False,,Brand New,2999,0
Doritos Flaming Hot 9.75oz (5 Bags),True,0,Brand New,4544,0
DORITOS 3D Crunch Limited Edition Chili Cheese Nacho 6 oz Bag NEW. In hand,False,,Brand New,899,0
,False,,,,
Doritos cool ranch 9 3/4oz Bag,False,,Brand New,1299,0
Doritos Dinamita Chile Limon 4.25oz 2-pack,True,,Brand New,1199,0
Doritos Spicy Nacho 9.75oz (5 Bags),True,,Brand New,4544,0
Rare And Exotic Doritos RF EXCLUSIVE schools lunch only. Never opened. ERROR BAG,False,,Brand New,270000,0
"Doritos Nacho Cheese Tortilla Chips (1.75 oz., 64 ct.) FREE SHIPPING",True,,Brand New,4899,0
Rare Exotic Limited Edition Doritos  Bacon Cheese Burger Avocado & Cheese,False,0,Brand New,3999,0
Doritos Zesty Cheese Tortilla Chips 255g {Imported from Canada},True,,Brand New,1849,0
Doritos Flamin' Hot Limon Tortilla Chips Flaming Large Bags - 2 Pack (19.5oz),False,,Brand New,1699,699
Doritos Tortilla Chips Guacamole Crisps flavour corn chips ,False,,Brand New,1219,2440
"PAKETAXO (73 G EACH) Mexican CHIPS MIX Sabritas (FLAMING HOT) 1, 2, 3 BAGS !!!!!",True,,Brand New,557,0
"RUNNERS Mexican Chips Mexico BARCEL, (58 G EACH) 4, 5, 6, 7, 8, 9, 10 BAGS !!!!",True,,Brand New,1199,0
Doritos Roulette Maybe Hot Maybe Not Nacho Corn Chip Snacks 9 oz Lot of 5 Bags,False,,Brand New,4466,0
Doritos Flamas Tortilla Chips 9.25 Oz (Pack of 4),False,,Brand New,3609,0
Doritos Late Night Oven Roasted Chicken Korea -48 bags - Free Shipping,False,,Brand New,19200,0
exotic Doritos ROULETTE nacho chees two Pack,False,,Brand New,2999,0
DORITOS 3D Crunch Limited Edition Chili Cheese Nacho 6 oz Bag NEW. In hand,False,,Brand New,1299,0
"Simply Brand Organic Doritos Tortilla Chips, Cheetos 0.875 Ounce (Pack of 36) ",True,,Brand New,2609,0
Doritos Guacamole Tortilla Chips 230g Guacamole flavour corn chips / Crisps,False,,Brand New,1219,2711
rare Doritos dynamite flaming hot Queso,False,,Brand New,2999,0
"Doritos Roulette Nacho Cheese Flavored Tortilla Chips, 9 oz Bag (3 Bags)",False,,Brand New,3087,0
1 Bag Doritos Dinamita CHILE LIMÓN TORTILLA LARGE 280g FRITO LAY Canada FRESH,False,,Brand New,1299,0
*NEW* Doritos Twisted Lime Tortilla Chips Extra Large Bag (18 7/8 Oz) EXP Nov 30,False,,Brand New,990,899
"NEW Frito Lay Nacho Cheese Doritos Chips Logo 52"" Knit Winter Scarf",False,0,Brand New,1240,300
Doritos Tangy Cheese - 40g - Pack of 1,False,,Brand New,1289,0
"Doritos 3D Crunch Chili Cheese Nacho 6 Oz., 1 Bag",False,,Brand New,1091,0
Doritos XXTRA Flamin' Hot Nacho Tortilla Chips Snacks 9.25 oz Bag LIMITED NEW,False,,Brand New,1099,0
Doritos Flavored Tortilla Chips Flamin' Hot Nacho 9.25 Oz,False,,Brand New,495,1923
"Doritos Nacho Cheese Flavored Tortilla Chips, 1 oz (Pack of 40)",True,0,Brand New,2500,0
rare Doritos twisted Lime,False,,Brand New,2999,0
rare Doritos salt and Doritos cheese,False,,Brand New,2399,0
"6-Pk Doritos, Cheetos Jalapeño Variedad 🇲🇽Variety Assorted Chips 45g/1.59oz",False,,Brand New,1800,0
rare and exotic Doritos flaming hot cheese supreme,False,,Brand New,3499,0
"Doritos Nacho Cheese (1 oz., 50 ct.)",False,,Brand New,2648,699
6-Pk Doritos Dinamita Chile y Limon Mex Chili & Lemon Doritos Dinamita 70gr ,False,,Brand New,1800,0
Doritos Ultimate Cheddar Flavored Tortilla Chips 2.75  oz Bag 2x Limited Edition,False,,Brand New,1695,1465
6-Pk Doritos 3D's Queso Mex Cheese 3D's Doritos 50g/1.76oz,False,,Brand New,1800,0
"Doritos Nacho Cheese Tortilla Chips, 2.5 Ounce (24 per case)",False,,Brand New,4599,0
"Doritos Assorted Variety Tortilla Chips, 1 oz per Bag, 40 Bags, Select Yours ✔️ ",False,,Brand New,2299,0
3 Pack Doritos Stax Mexican Chilli Salsa Imported from UK Shipping From USA,True,,Brand New,2599,
Exotic Nacho Cheese Doritos,False,,Brand New,1699,0
Doritos Tangy Cheese - 150g,False,,Brand New,1689,0
" DORITOS TORTILLA CHIPS, SWEET CHILI HEAT 235g 4 Bags fresh from Canada",False,0,Brand New,3495,0
"Doritos Dinamita Chile Limón Rolled Flavored Tortilla Chips, 11.25 Ounce",False,,Brand New,1044,0
Doritos Ultimate Cheddar Flavored Tortilla Chips Limited Edition 18.875 oz 12/21,False,,Brand New,1999,1000
"Doritos INCÓGNITA  MEXICO Sabritas (62G) 1, 2, 3 BAGS ! ",True,,Brand New,506,0
DORITOS ROULETTE Nacho Cheese Chips 9 oz Bag Some May Be Hot! Some Not!,True,0,Brand New,1390,625
5X TAKIS TOSTITOS SABRITAS CHEETOS DORITOS FLAMING HOT - 5 BOLSAS 45g - 70g c/u,False,,Brand New,1699,0
Sabritas Doritos Nachos Jumbo Mex Doritos Family Size 650g/22.9oz,False,,Brand New,2200,0
DORITOS® COOL RANCH® Flavored Tortilla Chips Bag Snacks (Pack of 1) ,False,,Brand New,1139,0
4 Bags Doritos Dinamita Nacho Picoso LARGE 280g FRITO LAY Canada FRESH,False,,Brand New,3499,0
"4 x Bags Doritos Jalapeño & Cheddar Tortilla Chips 235g, Canada, Free Shipping!",False,,Brand New,3800,0
"6-Pk Variedad Sabritas Doritos, Cheetos 🇲🇽 Variety Chips Extra Flamin Hot 45g",False,,Brand New,1800,0
Incognito Doritos And Pizzerolas Four Pack,False,,Brand New,2199,0
3X Doritos Corn Snack Hot Spicy Flavored Kosher By Elite Israel 70g,False,,Brand New,1295,0
rare and exotic Doritos salt,False,,Brand New,2499,0
Doritos Tortilla Chips NACHO CHEESE 9.75 Ounce (Pack of 3),False,,Brand New,2659,0
Doritos Cool Original - 150g,False,,Brand New,1689,0
Papitas Sabritas Mexican Chips PACK OF 5 (45g to 61) different flavors,False,0,Brand New,900,399
3X Doritos Corn Snack Sour & Hot Flavored Kosher By Elite Israel 70g,False,,Brand New,1095,0
"Doritos Nacho Cheese (1 oz., 50 pk.) 2 pack FREE SHIPPING",False,,Brand New,4000,0
Doritos Tangy Pickle Flavored Chips 9.25 oz Bag,False,,Brand New,2999,
Doritos Flamin' Hot Nacho Flavor Tortilla Chips 9.25 oz (3 Bags) ,False,,Brand New,2944,0
"Doritos 3D queso Mexican chips Sabritas 5 BAGS, 50g, EXP.DATE  OCT 2021",True,,Brand New,1495,0
rare Doritos taco and Doritos nacho cheese,False,,Brand New,2399,0
4 x Bags Doritos Late Night Fully loaded Nachos Chips 235g each from Canada,False,,Brand New,3800,0
Doritos Dinamita Chile Limon 11.5oz Bag 1 Count,False,,Brand New,1299,0
,False,,,,
10 x Bags Doritos Late Night Fully loaded Nachos Chips 235g each from Canada,False,,Brand New,6800,0
Doritos Spicy Sweet Chili Flavor 9.75oz bag ,True,,Brand New,1299,0
Doritos Nacho Cheese Wonder Woman Empty Bag 9.75oz +Bonus Superman Poster!,False,,Brand New,999,0
 DORITOS FLAMIN HOT NACHO FLAVORED TORTILLA CHIPS 9 3/4 OZ BAG ,True,,Brand New,1299,0
New Listing(31) Doritos Nacho Cheese Flavor Snack Chips * Dates 05/2021 & 06/2021,False,,Brand New,1949,2435
Rare Exotic Limited Edition Bacon Cheese Burger Doritos 2 Pack,False,,Brand New,4499,0
Doritos 3D Crunch - Spicy Ranch & Chili Cheese Nacho - 3 Bags Of Each Flavor NIB,False,,Brand New,1000,580
rare and exotic Doritos smoked barbecue Hot And Spicy And Nacho Cheese ￼￼￼,False,,Brand New,2499,0
1 Bag Doritos Dinamita Nacho Picoso LARGE 280g FRITO LAY Canada FRESH,False,,Brand New,1299,0
rare and exotic Doritos top-secret and Doritos flaming hot cheese supreme,False,,Brand New,3499,0
rare and exotic Doritos tomato dip,False,,Brand New,2399,0
"Frito-Lay Munchies Snack Mix FLAMIN HOT, Sun Chips Doritos Cheetos Pretzels 1 Ct",False,,Brand New,997,0
Mexican Doritos 4 Different Types Xtra-flaming Hot Box With 30 Bags ,False,,Brand New,4000,0
SABRITAS Doritos BIG BAG  Mexican CHIPS Sabritas (146gEACH) 2 Bags,False,,Brand New,1999,0
10 full size Bags Doritos Bold BBQ Tortilla Chips Size 235g each from Canada,False,,Brand New,6800,0
Doritos Nacho Cheese & Cheetos Flamin Hot Lot,False,,Brand New,1200,0
rare and exotic Doritos hot and spicy flavor,False,,Brand New,2399,0
NEW Exp 9/8/20 DORITOS Limited Edition Throw Back Retro Cool Ranch PROP Bag,False,,Brand New,3500,1595
Rare Lays Bacon Mac & Cheese And Lays Doritos Cool Ranch￼,False,,Brand New,2999,0
Doritos Cool Ranch Tortilla Chips 40 Bags Case 1 oz Single Serve Snack Size,False,,Brand New,2589,0
"Doritos 3D Mexican chips Sabritas, 1,2,3 BAGS NEWLY AVAILABLE EXP ALWAYS FRESH",True,91,Brand New,506,0
"Doritos Flamas Flavor Tortilla Chips, 9.25 Oz Bags (Pack of 3)",False,,Brand New,2754,0
"2x DORITOS Tortilla Chips, SWEET CHILI HEAT 255g FRESH CANADIAN",False,0,Brand New,1799,0
SMARTFOOD POPCORN Gouda & Chive SIZE 175g/ 6.11oz -Canada FRESH & Delicious,False,,Brand New,1299,0
"DORITOS PIZZEROLAS (62 G EACH) Mexican Sabritas 4, 5, 6, 7, 8, 9, 10 BAGS !!!!!!",True,,Brand New,1196,0
"Doritos Nacho Cheese Flavored Tortilla Chips, 1 oz (Pack of 40)",True,,Brand New,1999,0
5-PACK DORITOS NACHO GREAT TASTING MEXICAN CHIPS WITH 8.65 OZ EACH BAG,False,,Brand New,3298,0
Simply Brand Organic Doritos Tortilla Chips Cheetos Puffs 36 Count Free Shipping,False,0,Brand New,2389,0
"Simply Doritos White Cheddar, 0.875oz (36 Count)  ",True,,Brand New,2609,0
Rare Doritos Tangy Pickle Flavored Chips 9.25 oz,False,,Brand New,2999,0
Black 3D Spicy Ranch Dorito - Never before seen! Ultra Rare! Unsolved Mystery!,False,,Brand New,42000,450
Frito-Lay Doritos & Cheetos Mix Variety Pack 18 Count,False,,Brand New,1278,0
Doritos Nacho Cheese Wonder Woman Empty Bag 9.75oz +Bonus Superman Poster!,False,,Brand New,924,0
Doritos Tangy Cheese - 80g - Pack of 1,False,,Brand New,1389,0
cool doritos bag (rare),False,0,Brand New,50000,0
 Doritos Nachos Corn Snack Many Flavors Kosher By Elite Israel 70g,False,,Brand New,1550,0
rare and exotic avocado and cheese Doritos two pack,False,,Brand New,3499,0
"Doritos Dinamita Chili Limon Flavored Tortilla Chips, 10.75 oz Bag",False,,Brand New,1092,0
rare and exotic top-secret Doritos and Lays Mac and cheese bacon,False,,Brand New,3499,0
Doritos Stax Mexican Chilli Salsa Imported from UK Shipping From USA,True,,Brand New,1299,
3x DORITOS  Sour & Hot Flavored Corn Bar Kosher Israeli 70gr,True,,Brand New,1150,0
Rare Doritos Tangy Pickle Flavored Chips 9.25 oz,False,,Brand New,1699,1176
"Doritos Nacho Cheese (1 oz., 50 ct.) ",False,,Brand New,6300,2500
dorito chip Cool Ranch *perfect Triangle* (very Rare) Wow,False,,Brand New,25000,460
DORITOS ZESTY CHEESE TORTILLA CHIPS FAMILY SIZE BAGS 255gr x3 FREE SHIPPING,False,0,Brand New,3795,0
New Listing2xNew Original Doritos Flamin' Hot Nacho Flavor Tortilla Chips 70gr /2.46oz ,False,,Brand New,1590,0
Doritos Flamin Hot Nacho 9 1/4oz,False,,Brand New,1800,2500
Doritos Mexican tacos 60g x 12 bags for a limited time Japan Frito-Lay,False,,Brand New,7389,0
**RARE Perfectly puffed Cool Ranch Dorito**,False,,Brand New,1700,925
"12 Bags Doritos Spicy Nacho Tortilla Chips 255g each, From Canada ,Free Shipping",False,,Brand New,7400,0
3X Doritos Corn Snack Sour & Hot Flavored Kosher By Elite Israel 70g,True,,Brand New,1500,0
Doritos Lightly Salted - 180g,False,,Brand New,1789,0
Doritos Flamin Hot Limon 9 1/4oz,False,,Brand New,1800,2500
"Doritos Spicy Nacho Flavored Tortilla Chips, 9.25 oz Bag",False,,Brand New,695,0
Doritos Dinamita Chile Limon Tortilla Chips 11.25 oz - 318.9 g,True,,Brand New,1040,0
New Listing2xNew Original Doritos Flamin Hot Limon Flavor Tortilla Chips 70gr /2.46oz (2 B,False,,Brand New,1790,0
Doritos Cool Original - 40g - Pack of 1,False,,Brand New,1289,0
Doritos Sour Cream & Chive Dip Jar - 300g - Pack of 1,False,,Brand New,2489,0
Puffy Dorito (Cool Ranch),False,,Brand New,800000,0
Doritos 3D Crunch Limited Edition (36 bags) Full Box Factory Sealed Case New,False,,Brand New,4999,0
rare Lays bacon mac & cheese and Doritos nacho cheese,False,,Brand New,2999,0
"Doritos FLAMAS Flavor Tortilla Chips, 9.25 Oz Bags (Pack of 1) ",False,,Brand New,1234,0
"2x DORITOS Tortilla Chips, NACHO CHEESE 255g  FRESH CANADIAN",False,,Brand New,1799,0
rare Lays kettle everything bagel with cream cheese and Doritos twist lime,False,,Brand New,2999,0
"10 Bags Doritos Zesty Cheese Tortilla Chips 235g each,From Canada, Free Shipping",False,,Brand New,6800,0
"Doritos Nacho Cheese Flavored Tortilla Chips, 1.75 Ounce (Pack of 64)",True,0,Brand New,6900,0
