name,freereturns,itemssold,status,price,shipping
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) A2111 (CDMA + GSM),False,,Pre-Owned,40000,1065
(STILL IN BOX) Unopened! Apple iPhone 12 mini (PRODUCT)RED - 128GB (Unlocked),False,,Brand New,69500,510
Apple iPhone SE 2nd Gen. 128GGB (PRODUCT)RED (Unlocked) With Clear Case,True,,Pre-Owned,26600,1270
Apple iPhone 8 (PRODUCT)RED (A1863) 64GB - (Unlocked) Smartphone - Broken,True,0,Parts Only,9995,0
Apple iPhone 8 Plus (PRODUCT)RED - *AS-IS/FOR PARTS OR REPAIR* - BOOTLOOP!,False,,Parts Only,14999,0
"Authentic OEM Leather Case for the Apple iPhone XS Max 6.5"" New",False,,Brand New,448,699
 Apple iPhone 12 (PRODUCT)RED - 64GB (Unlocked) Smartphone - NEW,False,,Brand New,75999,
UNLOCKED Red Boost Mobile Apple iPhone 11 64GB Product Red Model A2111 Cracked,False,,Parts Only,35000,1500
New ListingApple iPhone 11 (PRODUCT)RED - 64GB (AT&T) A2111 (CDMA + GSM) ESN IS BAD,True,,Parts Only,34494,0
Apple iPhone 11 (PRODUCT)RED - 128GB (T-Mobile) A2111 (CDMA + GSM),False,,Pre-Owned,42500,1595
Apple iPhone XR 64GB T-Mobile Product Red,False,,Pre-Owned,32500,0
New ListingApple iPhone 11 (PRODUCT)RED - 128GB (AT&T) A2111 (CDMA + GSM),False,,Pre-Owned,40000,910
New ListingApple iPhone XR (PRODUCT)RED - 256GB - (AT&T) A1984 (CDMA + GSM) - *AS IS*,False,,Parts Only,29999,0
Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) A2111 (CDMA + GSM),False,,Pre-Owned,40000,1065
Apple iPhone XR - Product Red - A1984 - For Parts Only,False,,Parts Only,8035,2008
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) A2111 Cracked Front Back READ,True,,Parts Only,26995,0
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),True,,Parts Only,22250,0
NEW open Box Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) GRADE A (BEST),False,,Open Box,72500,2500
New ListingApple iPhone 8 Plus 64GB Product Red Mint Unlocked Used,False,,Pre-Owned,30000,0
Apple iPhone 8 Plus (PRODUCT) - 64GB - Sprint - Black,False,,Pre-Owned,35000,1065
Apple AirTag Leather Loop - (PRODUCT)RED,False,,Brand New,1500,0
"Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) Cracked,Bad LCD Clean ESN",True,,Parts Only,21499,
